,iter,train_loss,test_loss,frac_notes_correct,frac_frames_correct
0,100,0.2776321561472251,0.09991039425134658,0.97510743,0.07625
1,200,0.11826180256903171,0.0966643362864852,0.97510743,0.07625
2,300,0.11350872606039047,0.09586767297238112,0.97510743,0.07625
3,400,0.11394260853528976,0.09593380711972714,0.97510743,0.07625
4,500,0.11700870245695114,0.09583798751235008,0.97510743,0.07625
5,600,0.11000816524028778,0.09436841908842325,0.97510743,0.07625
6,700,0.11465313725173473,0.09395664021372795,0.97510743,0.07625
7,800,0.11093201406300068,0.09308535408228635,0.97510743,0.07625
8,900,0.11285893343389035,0.09244205590337515,0.97510743,0.07625
9,1000,0.10797905325889587,0.09181144818663597,0.97510743,0.07625
10,1100,0.10697493180632592,0.0912415025383234,0.97510743,0.07625
11,1200,0.1078434081375599,0.09052764674648643,0.97510743,0.07625
12,1300,0.10449397899210452,0.09001346684992313,0.97510743,0.07625
13,1400,0.10153420060873032,0.08801110042259097,0.97510743,0.07625
14,1500,0.10114534482359887,0.08666689967736602,0.97510743,0.07625
15,1600,0.09751489214599132,0.08646661506965757,0.97510743,0.07625
16,1700,0.09898852825164794,0.08468489905819297,0.97526366,0.07625
17,1800,0.09493646621704102,0.08258643630892039,0.97510743,0.07625
