,iter,train_loss,test_loss,frac_notes_correct,frac_frames_correct
0,0,0.6295759677886963,0.6186943540447637,0.69446445,0.0
1,20000,0.07153028774755076,0.13602662635476967,0.96682256,0.023026315
2,40000,0.054305211895890534,0.14050764080725217,0.96687394,0.023026315
3,60000,0.052823238590545954,0.1432175614724034,0.9667712,0.016447369
4,80000,0.05163381333821453,0.14650289537875275,0.9660002,0.019736841
5,100000,0.050688565814541654,0.14860075829844727,0.9660259,0.019736841
6,120000,0.04977414699895307,0.15039718268733276,0.9657175,0.019736841
7,140000,0.048944656870746985,0.15420524030923843,0.96499795,0.023026315
8,160000,0.04818330723461695,0.15523650085455493,0.9654862,0.023026315
9,180000,0.04752069914662279,0.1565257750059429,0.96528065,0.023026315
10,200000,0.046842638621851805,0.15713033276168922,0.96546054,0.023026315
11,220000,0.046225568261090665,0.16078388279205874,0.96528065,0.023026315
12,240000,0.045720234256098044,0.16023348585555428,0.96481806,0.019736841
13,260000,0.04518783685616218,0.16195332141298996,0.96499795,0.016447369
14,280000,0.044660476828133684,0.1632945153274034,0.96512645,0.016447369
15,300000,0.04416773310326971,0.16433272197058327,0.9647924,0.019736841
16,320000,0.04375909887310118,0.1654360145330429,0.9647924,0.023026315
17,340000,0.043360586107568815,0.16764938988183675,0.96512645,0.019736841
18,360000,0.042923265220504256,0.16901671592342227,0.96456105,0.016447369
19,380000,0.04265487430440262,0.16883295303896853,0.96474093,0.016447369
20,400000,0.042238919336674736,0.17001652521522423,0.9648951,0.016447369
21,420000,0.04187443982902914,0.17263190428677358,0.9640214,0.0065789474
22,440000,0.04163864521244541,0.17234564278470843,0.96481806,0.013157895
23,460000,0.041389837511908265,0.1740769165519037,0.96397,0.009868421
24,480000,0.0410523312471807,0.17394655609601423,0.9644583,0.016447369
25,500000,0.04077806229395792,0.17490446508715027,0.9642013,0.009868421
26,520000,0.040517953022848816,0.17650666891744263,0.9633789,0.009868421
27,540000,0.04030883037461899,0.1776561174345644,0.96376437,0.009868421
28,560000,0.040079065149324015,0.17951480534515882,0.962942,0.009868421
29,580000,0.039737366116559134,0.17964563675616918,0.96409845,0.009868421
30,600000,0.03957287117158994,0.180426792094582,0.9631219,0.0065789474
31,620000,0.03936323734321631,0.18168833753780314,0.9629163,0.013157895
32,640000,0.03915412850365974,0.18191695527026527,0.96299344,0.009868421
33,660000,0.03899551115701906,0.1821336497209574,0.9626079,0.0065789474
34,680000,0.03873115722695365,0.18263085343335805,0.96299344,0.009868421
35,700000,0.03852144534937106,0.18511629006580302,0.9620169,0.009868421
36,720000,0.03837358624697663,0.18436688223951742,0.9629163,0.009868421
37,740000,0.038193214151402935,0.18400474814207932,0.9627621,0.0065789474
38,760000,0.038040520349843426,0.18562833984431468,0.96253085,0.009868421
39,780000,0.037802049877494574,0.18663919011228963,0.96255654,0.0065789474
