,iter,train_loss,test_loss,frac_notes_correct,frac_frames_correct
0,50,0.33104338971715347,0.2110753133893013,0.946875,0.0
1,100,0.02146402444690466,0.24618899524211885,0.946875,0.0
2,150,0.009275679029524326,0.26995650976896285,0.946875,0.0
3,200,0.005802166396752,0.2885251820087433,0.946875,0.0
4,250,0.004073629225604236,0.3038270831108093,0.946875,0.0
5,300,0.0030578617565333844,0.3168418288230896,0.946875,0.0
6,350,0.002400185577571392,0.32817051410675047,0.946875,0.0
7,400,0.0019454120635055007,0.33820833563804625,0.946875,0.0
8,450,0.001615499658510089,0.34722683429718015,0.946875,0.0
9,500,0.0013672382663935422,0.35542121827602385,0.946875,0.0
10,550,0.0011749325832352041,0.3629354923963547,0.946875,0.0
11,600,0.001022430129814893,0.36988089978694916,0.946875,0.0
12,650,0.19379749133135193,0.1628605306148529,0.946875,0.0
